ParticipantId;ParticipantGender;DocumentTitle;DocumentText;Exclude;Domain;DocumentId;GenderIndication;ExpStereotype;Query;Label
P125;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;famous plus size models;n
P091;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Male Plus size Models of 2021;m
P397;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Exercise controls weight. Exercise can help prevent excess weight gain or help maintain weight loss. ... Exercise combats health conditions and diseases. ... Exercise improves mood. ... Exercise boosts energy. ... Exercise promotes better sleep. ... Exercise puts the spark back into your sex life. ... Exercise can be fun … and social!;r
P191;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;2021 men plus models;m
P017;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;https://www.insiderlyfe.com/plus-size-models;r
P287;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;2021 male plus model;m
P377;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;male plus size models;m
P040;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;top male bigger models;m
P241;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Body positivity is focused on helping people feel better about their own bodies.;r
P213;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Who are the most famous male plus size models in the world.;m
P155;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;famous plus size models;n
P229;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;male models plus 2021;m
P309;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Jonah hill;r
P174;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Male plus size models;m
P063;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;Everyone has a right to feel comfortable and confident in their own skin, We cover the ways we can all take action to foster a more inclusive and accepting ...;r
P278;n;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;yes (participant gender unknown);0;5;m;f;good;r
P402;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;13 plus size male models to follow *immediately*;m
